workload,allocator,block_tokens,seq_id,step,seq_len,kv_bytes,n_cmds,m1,m2,m3_gbps,attacc_cycles,attacc_mac_ab,cycles_per_kb,wall_s
steady,paged,16,45,400,332,1359872,21504,0.97916667,0.1235119,393.09476,8598,21504,6.4743976,2.2534153
steady,paged,16,58,400,222,909312,14336,0.96875,0.12388393,364.2785,5910,14336,6.6554054,1.4180701
steady,paged,16,63,400,426,1744896,27648,0.97685185,0.12326389,385.25479,11142,27648,6.5387324,2.7801144
steady,pim-aware,16,45,400,332,1359872,21504,0.99553571,0.1235119,451.5297,8158,21504,6.1430723,1.7741815
steady,pim-aware,16,58,400,222,909312,14336,0.99553571,0.12388393,452.88973,5430,14336,6.1148649,1.1596091
steady,pim-aware,16,63,400,426,1744896,27648,0.99537037,0.12326389,449.9474,10502,27648,6.1631455,2.1965946
steady,contiguous,16,45,400,332,1359872,21504,0.99553571,0.1235119,451.5297,8158,21504,6.1430723,1.7321367
steady,contiguous,16,58,400,222,909312,14336,0.99330357,0.12388393,443.89163,5470,14336,6.1599099,1.1165118
steady,contiguous,16,63,400,426,1744896,27648,0.99537037,0.12326389,449.9474,10502,27648,6.1631455,2.1795434
