workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,copyback,separate,oracle,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr0.6_adcopyback_s0.csv,500,500,0,0,2434,1193,1085,1384,0.78395954,283105,0,0,7437807616,0,0,0.96282678,0.95,0.96875,0.98904484,0.96428571,1,2794.7645,760.10201,1875.3,0.91227404,0.89933496,1
spec,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,copyback,separate,vllm,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr0.6_adcopyback_admvllm_s0.csv,500,500,0,0,2363,1153,1380,1384,0.99710983,282944,0,45,7432626176,7,0,0.95979374,0.93525054,0.96875,0.98887778,0.965,1,2745.0979,762.18222,1804.2,0.88524581,0.88707541,1.0846583
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,copyback,separate,oracle,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr0.8_adcopyback_s0.csv,500,500,0,0,2386,1152,1330,1848,0.71969697,283197,0,0,7439642624,0,0,0.9628553,0.95,0.96875,0.98884424,0.96307292,1,2794.5206,743.42335,1740,0.91877297,0.89980855,1
spec,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,copyback,separate,vllm,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr0.8_adcopyback_admvllm_s0.csv,500,500,0,0,2375,1153,1573,1848,0.85119048,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,copyback,separate,oracle,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr1.0_adcopyback_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,copyback,separate,vllm,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_hr1.0_adcopyback_admvllm_s0.csv,500,500,0,0,2375,1153,1573,2304,0.68272569,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_adcopyback_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
spec,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,copyback,separate,vllm,results/phaseD_specfix/spec_pim-aware_host-cacheline_bt16_adcopyback_admvllm_s0.csv,500,500,0,0,2375,1153,1573,3000,0.52433333,283025,0,0,7442952192,0,0,0.9628632,0.95,0.96875,0.98882652,0.96471429,1,2794.5924,745.15785,1774.4,0.91842557,0.90003168,1
