workload,allocator,addrmap,block_tokens,seed,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,preemptions,self_preemptions,blk_adj_mean,same_frame_mean,frame_spread_mean
spec,pim-aware,host-cacheline,4,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt4_adcopyback_s0.csv,1000,1000,0,0,4643,2147,6117,12416,0.49267075,870153,0,0,3615006720,0.96276266,0.95,0.96875,0.98908204,0.96428571,1,2793.9768,826.97979,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.97924705,0.97474408,1.0010476
spec,pim-aware,host-cacheline,8,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt8_adcopyback_s0.csv,1000,1000,0,0,4643,2147,3066,6240,0.49134615,641389,0,0,6986768384,0.96276691,0.95,0.96875,0.9892268,0.96428571,1,2794.4083,826.87056,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.95886546,0.94926282,1.0007815
spec,pim-aware,host-cacheline,16,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt16_adcopyback_s0.csv,1000,1000,0,0,4643,2147,1543,3168,0.48705808,526414,0,0,13726621696,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.91677065,0.89761456,1
spec,pim-aware,host-cacheline,32,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt32_adcopyback_s0.csv,1000,1000,0,0,4643,2147,781,1580,0.4943038,469045,0,0,27162025984,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.82023762,0.79121497,1
spec,pim-aware,host-cacheline,64,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt64_adcopyback_s0.csv,1000,1000,0,0,4643,2147,400,832,0.48076923,440822,0,0,54120390656,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.61263769,0.55974245,1
spec,pim-aware,host-cacheline,128,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt128_adcopyback_s0.csv,1000,1000,0,0,4643,2147,209,416,0.50240385,426651,0,0,108355887104,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.13141042,,
spec,pim-aware,host-cacheline,256,0,results/headline_specfix/spec_pim-aware_host-cacheline_bt256_adcopyback_s0.csv,1000,1000,0,0,4643,2147,114,249,0.45783133,419131,0,0,218420715520,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,1.3,1,window,llama-gqa-8kv,copyback,separate,oracle,0,0,0.11482051,,
steady,contiguous,host-cacheline,4,0,results/headline/steady_contiguous_host-cacheline_bt4_s0.csv,1000,1000,0,3714,6587,2875,8913,12396,0.71902227,148713,0,0,0,0.95893387,0.9375,0.96850394,0.95955205,0.91666667,1,2647.985,928.55423,2363.48,,,,,,,,,,,,
steady,contiguous,host-cacheline,8,0,results/headline/steady_contiguous_host-cacheline_bt8_s0.csv,1000,1000,0,3495,6502,2833,4406,6240,0.70608974,74609,0,0,0,0.95769816,0.9375,0.96722442,0.98939227,0.96527778,1,2709.8889,905.66078,2310.44,,,,,,,,,,,,
steady,contiguous,host-cacheline,16,0,results/headline/steady_contiguous_host-cacheline_bt16_s0.csv,1000,1000,0,3343,6485,2805,2274,3161,0.7193926,37546,0,0,0,0.95794312,0.9375,0.9673913,0.98892673,0.9625,1,2711.5558,895.82955,2324.2,,,,,,,,,,,,
steady,contiguous,host-cacheline,32,0,results/headline/steady_contiguous_host-cacheline_bt32_s0.csv,1000,1000,0,3430,6468,2806,1130,1580,0.71518987,19017,0,0,0,0.9588918,0.9375,0.9676259,0.9891623,0.96323529,1,2727.2282,902.67908,2315.6,,,,,,,,,,,,
steady,contiguous,host-cacheline,64,0,results/headline/steady_contiguous_host-cacheline_bt64_s0.csv,1000,1000,0,2922,6405,2763,616,832,0.74038462,9774,0,0,0,0.96028495,0.94230769,0.96821911,0.98966884,0.96428571,1,2752.8801,887.88936,2299.84,,,,,,,,,,,,
steady,contiguous,host-cacheline,128,0,results/headline/steady_contiguous_host-cacheline_bt128_s0.csv,1000,1000,0,3283,6440,2801,307,416,0.73798077,5131,0,0,0,0.96329153,0.95,0.96875,0.98973929,0.96634615,1,2804.7737,889.32424,2274.9,,,,,,,,,,,,
steady,contiguous,host-cacheline,256,0,results/headline/steady_contiguous_host-cacheline_bt256_s0.csv,1000,1000,0,1739,6053,2609,191,249,0.76706827,2799,0,0,0,0.96319799,0.95,0.96875,0.98968142,0.96634615,1,2803.5736,886.12465,2300.7,,,,,,,,,,,,
steady,paged,host-cacheline,4,0,results/headline/steady_paged_host-cacheline_bt4_s0.csv,1000,1000,0,0,5986,2574,9739,12396,0.78565666,148713,0,0,0,0.54169756,0.5,0.78956086,0.53778954,0.4930097,0.78483796,431.93428,6819.9516,19279.31,,,,,,,,,,,,
steady,paged,host-cacheline,8,0,results/headline/steady_paged_host-cacheline_bt8_s0.csv,1000,1000,0,0,5978,2568,4928,6240,0.78974359,74609,0,0,0,0.55192998,0.5,0.83687888,0.98924508,0.96428571,1,777.32058,3471.661,9558.555,,,,,,,,,,,,
steady,paged,host-cacheline,16,0,results/headline/steady_paged_host-cacheline_bt16_s0.csv,1000,1000,0,0,5959,2560,2500,3161,0.79088896,37546,0,0,0,0.76945868,0.73913043,0.89709225,0.98939929,0.96527778,1,1226.2691,2097.3769,5732.1,,,,,,,,,,,,
steady,paged,host-cacheline,32,0,results/headline/steady_paged_host-cacheline_bt32_s0.csv,1000,1000,0,0,5978,2569,1252,1580,0.79240506,19017,0,0,0,0.87915258,0.86,0.93237613,0.98854857,0.96153846,1,1777.2783,1413.8508,3821.5,,,,,,,,,,,,
steady,paged,host-cacheline,64,0,results/headline/steady_paged_host-cacheline_bt64_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.93464605,0.92,0.95238095,0.9890527,0.96354167,1,2336.774,1065.8146,2830.23,,,,,,,,,,,,
steady,paged,host-cacheline,128,0,results/headline/steady_paged_host-cacheline_bt128_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.96321037,0.95,0.96875,0.9892735,0.96428571,1,2803.1543,881.77068,2300.7,,,,,,,,,,,,
steady,paged,host-cacheline,256,0,results/headline/steady_paged_host-cacheline_bt256_s0.csv,1000,1000,0,0,5844,2500,198,249,0.79518072,2799,0,0,0,0.96309515,0.95,0.96875,0.9893938,0.96634615,1,2801.5821,875.41208,2300.7,,,,,,,,,,,,
steady,pim-aware,host-cacheline,4,0,results/headline/steady_pim-aware_host-cacheline_bt4_s0.csv,1000,1000,0,0,5983,2573,9726,12416,0.78334407,148713,0,0,0,0.96304843,0.95,0.96875,0.98928266,0.96428571,1,2800.3565,883.1862,2309.3,,,,,,,,,,,,
steady,pim-aware,host-cacheline,8,0,results/headline/steady_pim-aware_host-cacheline_bt8_s0.csv,1000,1000,0,0,5978,2568,4928,6240,0.78974359,74609,0,0,0,0.96310985,0.95,0.96875,0.98924508,0.96428571,1,2801.3162,877.24202,2292.1,,,,,,,,,,,,
steady,pim-aware,host-cacheline,16,0,results/headline/steady_pim-aware_host-cacheline_bt16_s0.csv,1000,1000,0,0,5955,2558,2497,3168,0.78819444,37546,0,0,0,0.96327142,0.95,0.96875,0.98980761,0.96428571,1,2805.3679,883.9717,2310.59,,,,,,,,,,,,
steady,pim-aware,host-cacheline,32,0,results/headline/steady_pim-aware_host-cacheline_bt32_s0.csv,1000,1000,0,0,5978,2569,1252,1580,0.79240506,19017,0,0,0,0.96307564,0.95,0.96875,0.98854857,0.96153846,1,2798.6793,882.81798,2314.46,,,,,,,,,,,,
steady,pim-aware,host-cacheline,64,0,results/headline/steady_pim-aware_host-cacheline_bt64_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.96306602,0.95,0.96875,0.9890527,0.96354167,1,2799.4532,885.64504,2367.63,,,,,,,,,,,,
steady,pim-aware,host-cacheline,128,0,results/headline/steady_pim-aware_host-cacheline_bt128_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.96321037,0.95,0.96875,0.9892735,0.96428571,1,2803.1543,881.77068,2300.7,,,,,,,,,,,,
steady,pim-aware,host-cacheline,256,0,results/headline/steady_pim-aware_host-cacheline_bt256_s0.csv,1000,1000,0,0,5844,2500,198,249,0.79518072,2799,0,0,0,0.96309515,0.95,0.96875,0.9893938,0.96634615,1,2801.5821,875.41208,2300.7,,,,,,,,,,,,
