workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,model,spec_adopt,pim_scratch,admission,pim_plan,max_batch,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,preemptions,self_preemptions,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,blk_adj_mean,same_frame_mean,frame_spread_mean
steady,paged,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_paged_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,26,0,0.78531857,0.74,0.92541667,0.98881335,0.96428571,1,1311.8871,1801.1117,4333.9,0.051483533,0.1600626,5.6843528
steady,paged,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_paged_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2959,1431,2520,2995,0.84140234,18185,0,0,0,0,0,0.78473633,0.74,0.92857143,0.98909081,0.965,1,1312.6297,1804.3111,4342.5,0.050052907,0.15692738,5.6684083
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,greedy,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_plgreedy_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,0,0,202,0,0.85987951,0.76470588,0.96153846,0.98932557,0.96590909,1,1730.8712,1421.6394,3624.87,0.30738216,0.47086522,3.7035765
steady,pim-aware,host-cacheline,16,0,0.6,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr0.6_admvllm_s0.csv,500,500,0,0,4031,1935,1384,1384,1,21677,0,0,0,202,0,0.85987951,0.76470588,0.96153846,0.98932557,0.96590909,1,1730.8712,1421.6394,3624.87,0.30738216,0.47086522,3.7035765
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,greedy,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_plgreedy_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,0,0,148,0,0.87879994,0.77586207,0.96666667,0.989076,0.96590909,1,1902.415,1285.4892,3009.815,0.43759922,0.54955131,3.2716669
steady,pim-aware,host-cacheline,16,0,0.8,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr0.8_admvllm_s0.csv,500,500,0,0,3267,1560,1848,1848,1,20476,0,0,0,148,0,0.87879994,0.77586207,0.96666667,0.989076,0.96590909,1,1902.415,1285.4892,3009.815,0.43759922,0.54955131,3.2716669
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,greedy,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_plgreedy_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,26,0,0.94034184,0.87600806,0.96825397,0.98881335,0.96428571,1,2488.5555,942.30202,2369.55,0.73284948,0.80576027,1.622853
steady,pim-aware,host-cacheline,16,0,1,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_hr1.0_admvllm_s0.csv,500,500,0,0,2967,1436,2304,2304,1,18636,0,0,0,26,0,0.94034184,0.87600806,0.96825397,0.98881335,0.96428571,1,2488.5555,942.30202,2369.55,0.73284948,0.80576027,1.622853
steady,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,vllm,greedy,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_admvllm_plgreedy_s0.csv,500,500,0,0,2959,1431,2520,3000,0.84,18185,0,0,0,0,0,0.96284049,0.95,0.96875,0.98909081,0.965,1,2796.0712,790.19567,1840.9,0.91517726,0.89863338,1
steady,pim-aware,host-cacheline,16,0,1.3,1,window,llama-gqa-8kv,n/a,separate,vllm,bestfit,64,results/phaseD2/steady_pim-aware_host-cacheline_bt16_admvllm_s0.csv,500,500,0,0,2959,1431,2520,3000,0.84,18185,0,0,0,0,0,0.96284049,0.95,0.96875,0.98909081,0.965,1,2796.0712,790.19567,1840.9,0.91517726,0.89863338,1
