workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,arrival_rate
steady,paged,host-cacheline,128,0,1.3,1,inorder,results/phaseA/steady_paged_host-cacheline_bt128_cminorder_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.99536461,0.99358974,0.99607257,0.12442058,0.12419872,0.12450907,454.19002,5534.5713,14743.61,
steady,paged,host-cacheline,128,1,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt128_s1.csv,1000,1000,0,0,6241,2689,352,416,0.84615385,5339,0,0,0,0.96345792,0.95238095,0.96875,0.98951779,0.96457143,1,2808.5805,950.43466,2427.4,
steady,paged,host-cacheline,128,2,1.3,1,window,results/phaseA/steady_paged_host-cacheline_bt128_s2.csv,1000,1000,0,0,6277,2717,327,416,0.78605769,4956,0,0,0,0.96344841,0.95,0.96875,0.9894668,0.96527778,1,2807.894,918.29076,2411.92,
steady,pim-aware,host-cacheline,4,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt4_s0.csv,1000,1000,0,0,5983,2573,9726,12416,0.78334407,148713,0,0,0,0.96304843,0.95,0.96875,0.98928266,0.96428571,1,2800.3565,883.1862,2309.3,
steady,pim-aware,host-cacheline,4,0,1.3,1,inorder,results/phaseA/steady_pim-aware_host-cacheline_bt4_cminorder_s0.csv,1000,1000,0,0,5983,2573,9726,12416,0.78334407,148713,0,0,0,0.99534437,0.99346405,0.99606815,0.12441805,0.12418301,0.12450852,454.09968,5542.105,14788.76,
steady,pim-aware,host-cacheline,4,1,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt4_s1.csv,1000,1000,0,0,6131,2639,10596,12992,0.81557882,155695,0,0,0,0.963238,0.95,0.96875,0.98944351,0.96663462,1,2803.7982,924.96885,2385.26,
steady,pim-aware,host-cacheline,4,2,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt4_s2.csv,1000,1000,0,0,6405,2779,9062,11904,0.76125672,143306,0,0,0,0.9633173,0.95,0.96875,0.99008338,0.96634615,1,2807.6069,923.62782,2385.26,
steady,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_s0.csv,1000,1000,0,0,5955,2558,2497,3168,0.78819444,37546,0,0,0,0.96327142,0.95,0.96875,0.98980761,0.96428571,1,2805.3679,883.9717,2310.59,
steady,pim-aware,host-cacheline,16,0,1.3,1,inorder,results/phaseA/steady_pim-aware_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,0,5955,2558,2497,3168,0.78819444,37546,0,0,0,0.9953767,0.99362445,0.99607403,0.12442209,0.12420306,0.12450925,454.23849,5549.3809,14801.23,
steady,pim-aware,host-cacheline,16,0,1.1,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_hr1.1_s0.csv,1000,1000,0,0,6478,2818,2144,2680,0.8,37546,0,0,0,0.96318244,0.95,0.96875,0.99025339,0.96354167,1,2805.5151,891.74131,2293.39,
steady,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_s0.csv,1000,1000,0,0,5955,2558,2497,3168,0.78819444,37546,0,0,0,0.96327142,0.95,0.96875,0.98980761,0.96428571,1,2805.3679,883.9717,2310.59,
steady,pim-aware,host-cacheline,16,0,1.6,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_hr1.6_s0.csv,1000,1000,0,0,5836,2495,2786,3896,0.7150924,37546,0,0,0,0.96303344,0.95,0.96875,0.98912537,0.96354167,1,2798.9918,880.14509,2317.9,
steady,pim-aware,host-cacheline,16,0,2,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_hr2.0_s0.csv,1000,1000,0,0,5836,2495,2786,4864,0.57277961,37546,0,0,0,0.96303344,0.95,0.96875,0.98912537,0.96354167,1,2798.9918,880.14509,2317.9,
steady,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_ar0.5_s0.csv,1000,1000,0,0,5785,2474,2498,3168,0.7885101,37546,0,0,0,0.96306133,0.95,0.96875,0.99012628,0.96568813,1,2803.3565,896.72437,2367.2,0.5
steady,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_ar1.0_s0.csv,1000,1000,0,0,5744,2452,2492,3168,0.78661616,37546,0,0,0,0.96312886,0.95,0.96875,0.98993905,0.96875,1,2804.1511,902.78707,2367.2,1
steady,pim-aware,host-cacheline,16,1,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_s1.csv,1000,1000,0,0,6147,2644,2666,3248,0.82081281,39293,0,0,0,0.96345721,0.95,0.96875,0.98997025,0.96666667,1,2809.3935,931.09278,2424.82,
steady,pim-aware,host-cacheline,16,2,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt16_s2.csv,1000,1000,0,0,6401,2778,2293,3000,0.76433333,36203,0,0,0,0.96338976,0.95,0.96875,0.99044703,0.96875,1,2809.5164,924.3617,2384.4,
steady,pim-aware,host-cacheline,64,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt64_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.96306602,0.95,0.96875,0.9890527,0.96354167,1,2799.4532,885.64504,2367.63,
steady,pim-aware,host-cacheline,64,0,1.3,1,inorder,results/phaseA/steady_pim-aware_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,0,5921,2540,655,832,0.78725962,9774,0,0,0,0.99534455,0.99354629,0.99606815,0.12441807,0.12419329,0.12450852,454.09475,5557.4731,14955.02,
steady,pim-aware,host-cacheline,64,1,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt64_s1.csv,1000,1000,0,0,6151,2646,689,832,0.828125,10185,0,0,0,0.96328188,0.95,0.96875,0.98975903,0.96634615,1,2805.7722,938.65344,2427.4,
steady,pim-aware,host-cacheline,64,2,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt64_s2.csv,1000,1000,0,0,6500,2829,580,748,0.77540107,9419,0,0,0,0.96331184,0.95,0.96875,0.98988473,0.96759259,1,2806.6224,923.86366,2406.76,
steady,pim-aware,host-cacheline,128,0,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt128_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.96321037,0.95,0.96875,0.9892735,0.96428571,1,2803.1543,881.77068,2300.7,
steady,pim-aware,host-cacheline,128,0,1.3,1,inorder,results/phaseA/steady_pim-aware_host-cacheline_bt128_cminorder_s0.csv,1000,1000,0,0,5985,2572,334,416,0.80288462,5131,0,0,0,0.99536461,0.99358974,0.99607257,0.12442058,0.12419872,0.12450907,454.19002,5534.5713,14743.61,
steady,pim-aware,host-cacheline,128,1,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt128_s1.csv,1000,1000,0,0,6241,2689,352,416,0.84615385,5339,0,0,0,0.96345792,0.95238095,0.96875,0.98951779,0.96457143,1,2808.5805,950.43466,2427.4,
steady,pim-aware,host-cacheline,128,2,1.3,1,window,results/phaseA/steady_pim-aware_host-cacheline_bt128_s2.csv,1000,1000,0,0,6277,2717,327,416,0.78605769,4956,0,0,0,0.96344841,0.95,0.96875,0.9894668,0.96527778,1,2807.894,918.29076,2411.92,
