workload,allocator,addrmap,block_tokens,seed,headroom,kv_shards,coalesce,csv,n_requests,completed,dropped,frag_failures,decode_steps,samples,peak_live_blocks,pool_blocks,pool_utilization_peak,blocks_allocated_total,cow_copies,spec_stalls,copied_bytes,m1_mean,m1_p05,m1_p95,m2_mean,m2_p05,m2_p95,m3_gbps_mean,m4_ns_mean,m4_ns_p95,arrival_rate
spec,paged,host-cacheline,16,0,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt16_s0.csv,1000,1000,0,0,4643,2147,1543,3161,0.48813667,509926,96427,0,12644941824,0.75646399,0.73913043,0.81152281,0.9892268,0.96428571,1,1153.4046,2024.478,5112.4,
spec,paged,host-cacheline,16,0,1.3,1,inorder,results/phaseA/spec_paged_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,0,4643,2147,1543,3161,0.48813667,509926,96427,0,12644941824,0.97014743,0.96774194,0.97684368,0.12126843,0.12096774,0.12210546,360.58835,6503.0412,16456.86,
spec,paged,host-cacheline,16,1,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt16_s1.csv,1000,1000,0,0,4700,2154,1599,3244,0.49290999,527493,99731,0,13092929536,0.75423774,0.73809524,0.78947368,0.98916678,0.96527778,1,1143.5489,2115.6173,5419.155,
spec,paged,host-cacheline,16,2,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt16_s2.csv,1000,1000,0,0,4323,2000,1684,2995,0.56227045,535541,101948,0,13353402368,0.754209,0.73809524,0.79414391,0.98950555,0.96590909,1,1141.6626,2109.0335,5539.7,
spec,paged,host-cacheline,64,0,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt64_s0.csv,1000,1000,0,0,4643,2147,400,832,0.48076923,436694,101316,0,53038710784,0.93252915,0.92,0.9375,0.9892268,0.96428571,1,2304.4306,1004.2862,2515.92,
spec,paged,host-cacheline,64,0,1.3,1,inorder,results/phaseA/spec_paged_host-cacheline_bt64_cminorder_s0.csv,1000,1000,0,0,4643,2147,400,832,0.48076923,436694,101316,0,53038710784,0.99153951,0.98983051,0.99224806,0.12394244,0.12372881,0.12403101,437.27085,5375.0649,13676.14,
spec,paged,host-cacheline,64,1,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt64_s1.csv,1000,1000,0,0,4700,2154,414,832,0.49759615,450928,104647,0,54894411776,0.93222839,0.91666667,0.9375,0.98916678,0.96527778,1,2300.8699,1037.7475,2709.12,
spec,paged,host-cacheline,64,2,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt64_s2.csv,1000,1000,0,0,4323,2000,436,748,0.5828877,460319,107015,0,56086806528,0.93227728,0.91983333,0.9375,0.98950555,0.96590909,1,2302.6605,1033.3325,2694.5,
spec,paged,host-cacheline,128,0,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt128_s0.csv,1000,1000,0,0,4643,2147,209,416,0.50240385,424609,102184,0,107274207232,0.96279317,0.95,0.96875,0.9892268,0.96428571,1,2794.9142,826.71891,2070.8,
spec,paged,host-cacheline,128,0,1.3,1,inorder,results/phaseA/spec_paged_host-cacheline_bt128_cminorder_s0.csv,1000,1000,0,0,4643,2147,209,416,0.50240385,424609,102184,0,107274207232,0.99531325,0.99346405,0.99607073,0.12441416,0.12418301,0.12450884,453.95189,5178.7375,13181.14,
spec,paged,host-cacheline,128,1,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt128_s1.csv,1000,1000,0,0,4700,2154,218,416,0.52403846,438147,105457,0,111224963072,0.96281755,0.94736842,0.96875,0.98916678,0.96527778,1,2795.7195,852.85919,2220.72,
spec,paged,host-cacheline,128,2,1.3,1,window,results/phaseA/spec_paged_host-cacheline_bt128_s2.csv,1000,1000,0,0,4323,2000,225,416,0.54086538,447734,107855,0,113566597120,0.96308407,0.95,0.96875,0.98950555,0.96590909,1,2801.8529,848.0254,2206.1,
spec,pim-aware,host-cacheline,4,0,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt4_s0.csv,1000,1000,0,0,4643,2147,6117,12416,0.49267075,804121,77389,0,2533326848,0.95564113,0.93725,0.96774194,0.85549456,0.73272652,0.98077378,2312.2209,1011.9557,2596.91,
spec,pim-aware,host-cacheline,4,0,1.3,1,inorder,results/phaseA/spec_pim-aware_host-cacheline_bt4_cminorder_s0.csv,1000,1000,0,0,4643,2147,6117,12416,0.49267075,804121,77389,0,2533326848,0.99345142,0.99,0.99574332,0.12418143,0.12375,0.12446792,445.68401,5273.2857,13409.18,
spec,pim-aware,host-cacheline,4,1,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt4_s1.csv,1000,1000,0,0,4700,2154,6335,12992,0.48760776,832390,79936,0,2622046208,0.95469338,0.93333333,0.96774194,0.85124435,0.72562296,0.98243371,2289.6476,1058.1498,2785.81,
spec,pim-aware,host-cacheline,4,2,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt4_s2.csv,1000,1000,0,0,4323,2000,6682,11904,0.56132392,835352,81742,0,2671689728,0.95456552,0.93333333,0.96774194,0.84537447,0.72578556,0.97619048,2270.9138,1076.6925,2841.9,
spec,pim-aware,host-cacheline,16,0,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt16_s0.csv,1000,1000,0,0,4643,2147,1543,3168,0.48705808,509926,96427,0,12644941824,0.87860621,0.79662064,0.95454545,0.9892268,0.96428571,1,1848.8488,1295.2713,3297.41,
spec,pim-aware,host-cacheline,16,0,1.3,1,inorder,results/phaseA/spec_pim-aware_host-cacheline_bt16_cminorder_s0.csv,1000,1000,0,0,4643,2147,1543,3168,0.48705808,509926,96427,0,12644941824,0.98492249,0.97487437,0.99433374,0.12311531,0.1218593,0.12429172,411.7514,5696.7929,14510.3,
spec,pim-aware,host-cacheline,16,1,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt16_s1.csv,1000,1000,0,0,4700,2154,1599,3248,0.49230296,527493,99731,0,13092929536,0.8767362,0.79411765,0.95638686,0.98916678,0.96527778,1,1840.3473,1346.8143,3645.315,
spec,pim-aware,host-cacheline,16,2,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt16_s2.csv,1000,1000,0,0,4323,2000,1684,3000,0.56133333,535541,101948,0,13353402368,0.87171251,0.797538,0.95061728,0.98950555,0.96590909,1,1787.4176,1405.4323,3771.345,
spec,pim-aware,host-cacheline,64,0,1.3,1,window,results/phaseA/spec_pim-aware_host-cacheline_bt64_s0.csv,1000,1000,0,0,4643,2147,400,832,0.48076923,436694,101316,0,53038710784,0.94337649,0.92,0.96296296,0.9892268,0.96428571,1,2471.3328,925.2368,2301.71,
